target_pct,target_fraction,audience_rows,observed_positive_rate,observed_positive_rate_pct,captured_positive_share,captured_positive_share_pct,lift_vs_population,estimated_positive_rows_in_audience,entity
1,0.01,6380,0.0203761755485893,2.03761755485893,0.4710144927536231,47.10144927536231,47.09583844441416,129.99999999999972,visitor prediction rows
5,0.05,31897,0.0055804621124243,0.55804621124243,0.644927536231884,64.4927536231884,12.898227219587689,177.9999999999979,visitor prediction rows
10,0.1,63793,0.0031037888169548,0.31037888169548,0.717391304347826,71.73913043478261,7.173845569808327,197.99999999999756,visitor prediction rows
