target_fraction,target_pct,rows,treated_rows,control_rows,treated_conversion_rate,control_conversion_rate,observed_uplift,observed_uplift_pp,incremental_conversions_per_10k,estimated_incremental_conversions_in_audience,conversion_uplift_relative_to_population
0.01,1.0,20779,18339,2440,0.1386662304378646,0.1077868852459016,0.030879345191963,3.0879345191963017,308.79345191963,641.6419137437991,26.471151876657995
0.05,5.0,103891,90454,13437,0.0449399694872531,0.0311081342561583,0.0138318352310948,1.3831835231094824,138.318352310948,1437.0031939936698,11.857266041720216
0.1,10.0,207781,179545,28236,0.0252081650839622,0.0168579118855361,0.008350253198426,0.8350253198426041,83.50253198426,1735.0239598221526,7.158209451980683
0.2,20.0,415561,356356,59205,0.0137194266407749,0.0089012752301325,0.0048181514106423,0.4818151410642365,48.181514106423,2002.235818357925,4.130334272406844
1.0,100.0,2077801,1765503,312298,0.0031197907904999,0.0019532625889374,0.0011665282015624,0.1166528201562441,11.665282015624001,2423.8134637345565,1.0
