uplift_decile,rows,mean_predicted_uplift,treated_conversion_rate,control_conversion_rate,observed_uplift,observed_uplift_pp
1,207781,0.007986595,0.025208165083962238,0.016857911885536196,0.008350253198426041,0.8350253198426041
2,207780,0.0007453886,0.002053039686444848,0.0016468080984210016,0.00040623158802384637,0.04062315880238464
3,207780,0.00039683122,0.0008568542666802856,0.0003486087342333777,0.0005082455324469079,0.05082455324469079
4,207780,0.00027340456,0.00046038160519719677,0.0006595684537830962,-0.00019918684858589943,-0.01991868485858994
5,207780,0.00020104052,0.00022163120567375886,0.0001257387149503332,9.589249072342566e-05,0.009589249072342567
6,207780,0.00013643957,0.00022711271604097113,9.476876421531463e-05,0.0001323439518256565,0.01323439518256565
7,207780,7.1927185e-05,0.00015873915754861386,0.00022300095571838166,-6.42617981697678e-05,-0.00642617981697678
8,207780,3.4191147e-05,0.00016444290712378014,0.00012727909122728863,3.7163815896491505e-05,0.0037163815896491506
9,207780,4.0617874e-06,0.00011926668029714442,6.308352258390108e-05,5.618315771324333e-05,0.005618315771324333
10,207780,-0.000117689386,0.0013063060504688504,0.0009775787581596293,0.0003287272923092211,0.03287272923092211
