target_fraction,target_pct,rows,treated_rows,control_rows,treated_conversion_rate,control_conversion_rate,observed_uplift,observed_uplift_pp
0.01,1.0,100,53,47,0.16981132075471697,0.2127659574468085,-0.04295463669209154,-4.295463669209154
0.05,5.0,500,267,233,0.07865168539325842,0.06866952789699571,0.009982157496262717,0.9982157496262717
0.1,10.0,1000,508,492,0.045275590551181105,0.034552845528455285,0.01072274502272582,1.072274502272582
0.2,20.0,2000,1048,952,0.02194656488549618,0.017857142857142856,0.0040894220283533254,0.40894220283533256
1.0,100.0,10000,5000,5000,0.005,0.0034,0.0016000000000000003,0.16000000000000003
